name,destination,seller,price_in_eur,weight,Strain,Type,Rating_weed,Effects,Flavor,Description,weed,hash,source,origin,items_sold,Rating_seller
7 Grams California Top Tier Import Lemon Cherry Gelato 1-2DD,Worldwide,PharmaPlug,105.1232,1g,cherry-og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors. ",1,0,Elysium,,,
3.5 Grams California Top Tier Import Lemon Cherry Gelato,Worldwide,PharmaPlug,58.3674,3.5g,cherry-og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors. ",1,0,Elysium,,,
2 Grams California Top Tier Import Lemon Cherry Gelato 1-2DD,UnitedKingdom,PharmaPlug,35.0623,1g,cherry-og,hybrid,4.2,"Euphoric,Relaxed,Happy,Uplifted,Hungry","Berry,Diesel,Sweet","Cherry OG by Emerald Triangle Seeds is a hybrid cannabis strain bred by combining Cherry Thai, Afghani, and Lost Coast OG genetics. A 50/50 hybrid, Cherry OG truly brings you the best of both sativa and indica worlds as it delivers full-body euphoria alongside high-flying cerebral lucidity. While its name sets expectations of a fruity cherry aroma, this strain can sometimes express more sour and diesel-like flavors. ",1,0,Elysium,,,
7 Gram Chocolate Mint OG Filtered Imported Hash Free 1-2DD,UnitedKingdom,PharmaPlug,64.20960000000001,1g,la-chocolat,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Earthy,Coffee,Sweet","LA Chocolate, bred by DNA Genetics, is a 60/40 indica-dominant strain parented by their cherished LA Confidential indica and Chocolope sativa. This power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. Its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.",1,0,Elysium,,,
3.5 Gram Chocolate Mint OG Filtered Imported Hash,UnitedKingdom,PharmaPlug,35.0623,3.5g,la-chocolat,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Earthy,Coffee,Sweet","LA Chocolate, bred by DNA Genetics, is a 60/40 indica-dominant strain parented by their cherished LA Confidential indica and Chocolope sativa. This power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. Its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.",1,0,Elysium,,,
2 Gram Chocolate Mint OG Filtered Imported Hash Free 1-2DD,UnitedKingdom,PharmaPlug,23.3779,1g,la-chocolat,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Earthy,Coffee,Sweet","LA Chocolate, bred by DNA Genetics, is a 60/40 indica-dominant strain parented by their cherished LA Confidential indica and Chocolope sativa. This power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. Its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.",1,0,Elysium,,,
1 Gram Chocolate Mint OG Filtered Imported Hash Free 1-2DD,UnitedKingdom,PharmaPlug,14.0413,1g,la-chocolat,hybrid,4.5,"Relaxed,Happy,Euphoric,Sleepy,Hungry","Earthy,Coffee,Sweet","LA Chocolate, bred by DNA Genetics, is a 60/40 indica-dominant strain parented by their cherished LA Confidential indica and Chocolope sativa. This power-couple collectively passes on the best of their qualities: thick resin production, heavy yields, and a sweet, earthy aroma of chocolate and coffee. Its soothing physical effects sink through the body, keeping you relaxed while kindling the appetite.",1,0,Elysium,,,
Skittlez UK Grown 10/10 14g,UnitedKingdom,TopCat,81.7453,10g,zkittlez,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Berry,Grape","Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored cannabis bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are surprisingly uplifting for an indica, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.",1,0,Elysium,,,
Skittlez UK Grown 10/10 28g,UnitedKingdom,TopCat,145.95489999999998,10g,zkittlez,indica,4.6,"Relaxed,Happy,Euphoric,Uplifted,Sleepy","Sweet,Berry,Grape","Zkittlez is an indica-dominant mix of Grape Ape and Grapefruit that is crossed with another undisclosed strain to produce this candy-flavored cannabis bred by 3rd Gen Family and Terp Hogz. This award-winning combination took 1st Place at the 2016 Emerald Cup and 1st Place Indica at the 2015 Cannabis Cups in San Francisco and in Michigan. The chunky colas explode in a spectrum of light green hues and emit a sweet, tropical blend of fruit flavors. The effects of Zkittlez are surprisingly uplifting for an indica, leaving consumers focused, alert, and happy while relaxing the body to help unwind any time of day.",1,0,Elysium,,,
3.5g Premium Cannabis Flower,UnitedKingdom,StrainPirate,22.75,3.5g,lowryder,hybrid,4.4,"Relaxed,Uplifted,Happy,Creative,Sleepy","Sweet,Pine,Citrus","Lowryder is a hybrid strain that was inbred for nine generations by Joint Doctor Seeds to give it a dwarfed size. Growing no more than 16 inches tall, it's the cannabis equivalent of a bonsai for the discrete grower’s windowsill or balcony. Lowryder’s small size comes from a species of cannabis ruderalis crossed with Northern Lights #2 and then William’s Wonder. Consumers, be patient with this strain: its medicinal and cerebrally stimulating effects have a slow but powerful onset. A mild earthy aroma radiates from the small, conic buds which autoflower in a short 40 to 45 days. Lowryder is a stalwart plant that can survive in harsh, colder climates, making it a popular strain in northern regions like Finland and Canada.",1,0,Elysium,,,
3.5g Connected Indoor Flower,UnitedKingdom,StrainPirate,68.25,3.5g,sour-flower,sativa,4.3,"Energetic,Happy,Aroused,Uplifted,Focused","Berry,Earthy,Pine",Sour Flower provides an uplifting sativa high and is good for relieving pain and anxiety.  ,1,0,Elysium,,,
3.5g AlienLabs Indoor Flower,UnitedKingdom,StrainPirate,68.25,3.5g,sour-flower,sativa,4.3,"Energetic,Happy,Aroused,Uplifted,Focused","Berry,Earthy,Pine",Sour Flower provides an uplifting sativa high and is good for relieving pain and anxiety.  ,1,0,Elysium,,,
3.5g Top Shelf Prepackaged GB Extracts,UnitedKingdom,StrainPirate,40.95,3.5g,cactus,indica,4.6,"Euphoric,Happy,Uplifted,Relaxed,Hungry","Citrus,Earthy,Pungent","First bred by Jordan of the Islands, Cactus is an indica cross between Afghani and Northern Lights and is named after its vague resemblance to the pear cactus. Cactus buds are conic with knobby formations and emit an organic earthy aroma with citrus notes. This indica is an adept painkiller, providing relief to aches and sore muscles as well as spasms and anxiety. While its indica genetics prepare us for a sleepy, relaxed experience, many describe Cactus as having more uplifting, energizing effects characteristic of sativa strains. Cactus has become a popular staple among the connoisseurs of Seattle, and was among the first place winners in the 2012 High Times Cannabis Cup.",1,0,Elysium,,,
1oz Indoor Gorilla Glue Littles,USA,StrainPirate,68.25,1.0g,godzilla-glue,hybrid,4.7,"Uplifted,Focused,Happy,Relaxed,Euphoric","Tropical,Spicy/Herbal,Sweet","Godzilla Glue by Pua Mana 1st Hawaiian Pakalōlō Seed Bank is a blend of Gorilla Glue #4 from Amazon Organics and Pua Mana’s own Killa Kine King Kamehameha Kailua-Kona Gold. This sticky, tropical coupling produces monstrous green stalks with fat, resinous colas that reek of pungent earth and pine with a hint of sweet tropical breeze. Godzilla Glue’s powerful euphoria is suited for seasoned consumers. It can become rather sedative with continued consumption, so enjoy Godzilla Glue with care. This strain’s high-THC content and robust genetics make it a welcome challenge for strain hunters and heavyweights.    ",1,0,Elysium,,,
Delta 9 Geisha Girls Sweet Pebbles,USA,StrainPirate,63.7,9.0g,sweet-pebbles,hybrid,4.8,"Euphoric,Creative,Happy,Focused,Relaxed","Sweet,Berry,Citrus","Sweet Pebbles, bred by Fire Bros. in Washington, is an aromatic hybrid strain with uplifting, happy effects. Those of you who love the strains Fruity Pebbles and Sour Pebbles are likely to appreciate the similar flavor profile of Sweet Pebbles, whose aroma is more floral than that of its sour-smelling relatives. Be prepared for Sweet Pebbles’ dreamy euphoria to lull your body into elevated relaxation while the mind wanders freely with creativity and focus.",1,0,Elysium,,,
20g BLUE DREAM - GREENHOUSE,USA,revenantchild,127.4,20.0g,blue-dream,hybrid,4.4,"Relaxed,Happy,Uplifted,Euphoric,Creative","Blueberry,Berry,Sweet","Blue Dream, a sativa-dominant hybrid originating in California, has achieved legendary status among West Coast strains. Crossing a Blueberry indica with the sativa Haze, Blue Dream balances full-body relaxation with gentle cerebral invigoration. Novice and veteran consumers alike enjoy the level effects of Blue Dream, which ease you gently into a calm euphoria. Some Blue Dream phenotypes express a more indica-like look and feel, but the sativa-leaning variety remains most prevalent.With a sweet berry aroma redolent of its Blueberry parent, Blue Dream delivers swift symptom relief without heavy sedative effects. This makes Blue Dream a popular daytime medicine for patients treating pain, depression, nausea, and other ailments requiring a high THC strain. ",1,0,Elysium,,,
1g Velvet Lushers - Cali | 26% THC | *Made in Germany*,USA,WorldOfSweets,9.9736,1.0g,velvet-bud,sativa,3.9,"Uplifted,Energetic,Euphoric,Talkative,Aroused","Sweet,Citrus,Spicy/Herbal","Like the name suggests, Velvet Bud will produce a smoke that is smooth like velvet. A mostly sativa that crosses Dutch Treat and Blueberry, this fruity strain is a great choice for anyone struggling with depression, anxiety, and stress.",1,0,Elysium,,,
1g Gelato 41 - Cali | 30% THC | *Made in Germany*,USA,WorldOfSweets,9.9736,1.0g,gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.",1,0,Elysium,,,
50g Velvet Lushers - Cali | 26% THC | *Made in Germany*,USA,WorldOfSweets,358.8403,50.0g,velvet-bud,sativa,3.9,"Uplifted,Energetic,Euphoric,Talkative,Aroused","Sweet,Citrus,Spicy/Herbal","Like the name suggests, Velvet Bud will produce a smoke that is smooth like velvet. A mostly sativa that crosses Dutch Treat and Blueberry, this fruity strain is a great choice for anyone struggling with depression, anxiety, and stress.",1,0,Elysium,,,
10g Velvet Lushers - Cali | 26% THC | *Made in Germany*,USA,WorldOfSweets,79.75240000000001,10.0g,velvet-bud,sativa,3.9,"Uplifted,Energetic,Euphoric,Talkative,Aroused","Sweet,Citrus,Spicy/Herbal","Like the name suggests, Velvet Bud will produce a smoke that is smooth like velvet. A mostly sativa that crosses Dutch Treat and Blueberry, this fruity strain is a great choice for anyone struggling with depression, anxiety, and stress.",1,0,Elysium,,,
5g Velvet Lushers - Cali | 26% THC | *Made in Germany*,USA,WorldOfSweets,49.8134,5.0g,velvet-bud,sativa,3.9,"Uplifted,Energetic,Euphoric,Talkative,Aroused","Sweet,Citrus,Spicy/Herbal","Like the name suggests, Velvet Bud will produce a smoke that is smooth like velvet. A mostly sativa that crosses Dutch Treat and Blueberry, this fruity strain is a great choice for anyone struggling with depression, anxiety, and stress.",1,0,Elysium,,,
50g Gelato 41 - Cali | 30% THC | *Made in Germany*,USA,WorldOfSweets,348.85760000000005,50.0g,gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.",1,0,Elysium,,,
10g Gelato 41 - Cali | 30% THC | *Made in Germany*,USA,WorldOfSweets,79.75240000000001,10.0g,gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.",1,0,Elysium,,,
5g Gelato 41 - Cali | 30% THC | *Made in Germany*,USA,WorldOfSweets,44.8266,5.0g,gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.",1,0,Elysium,,,
1 oz indoor flower smalls,Spain,MoonlightSmoke,81.9,1.0g,doox,sativa,4.4,"Uplifted,Energetic,Happy,Focused,Tingly","Sweet,Citrus,Lime","Doox is a sativa-dominant hybrid strain bred from Purple Cow and the legendary hybrid Chemdawg. The effects will set in quickly, delivering an intense body buzz coupled with dreamy euphoria. Doox flowers typically bloom in pale pastel greens masked by a dense coat of frosty resin. Pungent and skunky, this strain is sure to fill the room with its strong sour aroma. ",1,0,Elysium,,,
[Promo] 1g Weed nach Wahl,Germany,DieFeinschmecker,3.4944,1.0g,aceh,sativa,4.4,"Creative,Euphoric,Talkative,Energetic,Happy","Earthy,Mango,Lemon","Aceh, also called Atjeh, refers to the sativa varieties of cannabis that come from the Aceh region of Indonesia. These sativas typically grow tall and thin, and are considered the finest among Indonesia’s landrace varieties ",1,0,Elysium,,,
Critical mass outdoor 25 gram,Germany,BarNarcotikz,149.5221,25.0g,critical-mass,indica,4.3,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Pungent,Sweet","Critical Mass is a combination of Afghani and Skunk #1 that originated from the breeder Mr. Nice Seed Bank. With a large 'critical mass' of production, branches tend to snap from the weight of these dense buds. Flowering time is approximately 6-8 weeks, with a heavy leaf to flower ratio. However, due to the large production of flowering, this strain is susceptible to mold which can be reduced by growing indoors to reduce humidity. THC levels of this strain may reach 19-22%.",1,0,Elysium,,,
gelato outdoor 100 gram,Germany,BarNarcotikz,448.4935,100.0g,gelato,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Creative","Sweet,Pungent,Flowery","Gelato (also referred to as 'Larry Bird') is another tantalizing hybrid cannabis strain from Cookie Fam Genetics, following in the footsteps of its parents Sunset Sherbet and Thin Mint Girl Scout Cookies. This Bay Area, California native gets its name from the fruity, dessert-like aroma, a common genetic thread among the Cookie family. Her buds tend to bloom in dark purple hues illuminated by fiery orange hairs and a shining white coat of crystal resin. Novice consumers may want to approach this THC powerhouse with caution, but those armed with a high tolerance will delight in Gelato’s heavy-handed euphoria. Physical relaxation comes on strong, but many find themselves still mentally agile enough to stay productive and creative when enjoying Gelato during the day.",1,0,Elysium,,,
50G PURPLEKUSH,Germany,WeedShopHulk,398.6801,50.0g,purple-kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Grape","Purple Kush is a pure indica strain that emerged from the Oakland area of California as the result of a Hindu Kush and Purple Afghani cross. Its aroma is subtle and earthy with sweet overtones typical of Kush varieties. Blissful, long-lasting euphoria blankets the mind while physical relaxation rids the body of pain, sleeplessness, and stress. Purple Kush will grow wide rather than tall, and will be ready for harvest following an 8 week flowering time.",1,0,Elysium,,,
20G PURPLEKUSH,Germany,WeedShopHulk,169.47840000000002,20.0g,purple-kush,indica,4.3,"Relaxed,Sleepy,Happy,Euphoric,Hungry","Earthy,Sweet,Grape","Purple Kush is a pure indica strain that emerged from the Oakland area of California as the result of a Hindu Kush and Purple Afghani cross. Its aroma is subtle and earthy with sweet overtones typical of Kush varieties. Blissful, long-lasting euphoria blankets the mind while physical relaxation rids the body of pain, sleeplessness, and stress. Purple Kush will grow wide rather than tall, and will be ready for harvest following an 8 week flowering time.",1,0,Elysium,,,
Gorilla Glue Bud 1 pound (450 grams),Germany,Bud4less,341.25,450.0g,godzilla,indica,4.3,"Relaxed,Euphoric,Happy,Hungry,Tingly","Earthy,Flowery,Woody","Crafted from the genetics of God Bud, Godzilla is a mostly indica strain bred by Caña de España specifically for hot climates. Crushing euphoria and sedation are delivered alongside a sour berry flavor accented with subtle notes of vanilla. Thoughts wander away, taking with them stress, anxiety, and depression. After some time, Godzilla’s effects subside to clearheaded, functional bliss. Patients treating pain and muscle spasms may find relief in Godzilla’s potent and tranquilizing onset. Following a 55 day flowering cycle indoors or at the end of September outdoors, this indica produces colorfully vibrant buds of green and purple hues.",1,0,Elysium,,,
Green Crack Smalls 1 pound (450 grams),USA,Bud4less,108.29,450.0g,green-crack,sativa,4.3,"Energetic,Happy,Uplifted,Focused,Euphoric","Earthy,Citrus,Sweet","Don’t let the name fool you: this is pure cannabis. Few strains compare to Green Crack’s sharp energy and focus as it induces an invigorating mental buzz that keeps you going throughout the day. With a tangy, fruity flavor redolent of mango, Green Crack is the perfect daytime medication for patients treating fatigue, stress, and depression.Green Crack has branched into two genetic lineages, the most common of which is its sativa line descended from Skunk #1. The 75% indica variety of Green Crack is said to have come from an Afghani strain, and is marked by a tighter bud structure. Because its name perpetuates a negative image of cannabis, some people have taken to calling this strain Cush (with a ‘C’) or Green Cush instead.",1,0,Elysium,,,
CALI FLOWER WEDDING CAKE 1G TO 125G,USA,TopPlugz365,9.1,125.0g,wedding-cake,hybrid,4.7,"Relaxed,Happy,Euphoric,Uplifted,Focused","Sweet,Vanilla,Earthy","Wedding Cake, also known as Pink Cookies, is the familial genetic cross of Girl Scout Cookies and Cherry Pie. This delectable treat is rich with tangy sweet earth and pepper, taking notes and dimension from its OG and Durban Poison parentage. Enjoy this double dose of dense dankness with care, as certain farms have noted THC content upwards of 25% or greater.  ",1,0,Elysium,,,
CALI FLOWER OREO 1G TO 125G,USA,TopPlugz365,9.1,125.0g,ogre,hybrid,4.1,"Relaxed,Happy,Euphoric,Uplifted,Aroused","Skunk,Pungent,Earthy","There are several cannabis strains out there with the moniker of “Ogre.” The best known and most sought after is a sativa/Skunk-leaning phenotype of the multiple award-winning indica Sensi Star. While most phenotypes of Sensi Star are fairly compact indica plants, the Ogre is named for its much larger size and huge yields. Giant, frosty colas produce very high levels of THC and a pungent lemon-skunk aroma.",1,0,Elysium,,,
CALI FLOWER GUCCI OC 1G TO 125G,USA,TopPlugz365,9.1,125.0g,gucci-og,hybrid,4.7,"Euphoric,Happy,Uplifted,Relaxed,Energetic","Pine,Lemon,Sweet","Gucci OG is an OG Kush variant named with the lavish cannabis connoisseur in mind. Hailing from southern California like so many of its OG relatives, Gucci OG takes on the family’s signature aroma of pine and lemon, but with a unique hint of sweet berry. This hybrid’s effect can vary with different doses; small amounts may provide a spark of energy and creativity, while larger doses tend to give way to heavy sedation or dizzying euphoria. ",1,0,Elysium,,,
CALI FLOWER WHITE TRUFFLE 1G TO 125G,USA,TopPlugz365,9.1,125.0g,whiteout,hybrid,4.6,"Happy,Focused,Euphoric,Uplifted,Creative","Sweet,Citrus,Orange","Parent strains Super Silver Haze and The White were brought together to create this uplifting hybrid strain. Whiteout delivers intense euphoria paired with an alert, focused effect sure to satisfy your daytime needs. These frosty light green buds shimmer in light and will hit you with a pungenst zesty lemon aroma that would be expected of a Super Silver Haze offspring.",1,0,Elysium,,,
CALI FLOWER BLACK RUNTZ 1G TO 125G,USA,TopPlugz365,9.1,125.0g,black-tuna,hybrid,4.5,"Relaxed,Happy,Sleepy,Euphoric,Hungry","Earthy,Woody,Skunk","Black Tuna is a British Columbian strain created by 5 Star Organic to give patients a potent punch of THC that is ideal for chronic pain relief. This Herijuana and Lamb's Bread cross has gained quite a bit of fame in Canada for both its strong narcotic effect and its whimsical marketing—prepackaged meds were sold in sealed tuna cans. Flowers will be compact, trichome-covered and have a strong smell. Black Tuna doesn’t smell quite like fish, however; the strain’s name comes from the Black Tuna Gang that was famous for smuggling Colombian marijuana into the United States in the 1970s. Given its potency and high THC, this strain may be too much for novice or moderate consumers.",1,0,Elysium,,,
A++ Rated 1g Free Strictly One Per Person,Australia,Archon,0.5733,1.0g,tyson,indica,4.8,"Relaxed,Sleepy,Uplifted,Hungry,Happy","Earthy,Pungent,Sweet","Named after former undisputed heavyweight champion Mike Tyson, this strain is sure to knock you out. With a pungent diesel aroma, Tyson delivers a punch of indica effects known to fully relax the body while dulling pain, stress, insomnia, and appetite loss. This strain is not intended for first time users, and should only be consumed by indica connoisseurs. Tyson has been Canna Clinic's signature strain since its inauguration in 2011. ",1,0,Elysium,,,
